"AA9_1"	"AA9_2"	"AA9_3"	"DMSO_1"	"DMSO_2"	"DMSO_3"
"ENSG00000223972"	2	5	11	10	11	8
"ENSG00000227232"	365	221	356	381	317	335
"ENSG00000278267"	38	17	26	28	36	37
"ENSG00000243485"	0	4	6	4	1	8
"ENSG00000274890"	0	0	0	0	0	0
"ENSG00000237613"	0	0	0	0	0	2
"ENSG00000268020"	1	0	0	0	0	0
"ENSG00000240361"	0	0	0	0	0	0
"ENSG00000186092"	0	0	0	0	0	0
"ENSG00000238009"	4	10	6	8	10	12
"ENSG00000239945"	0	0	0	0	0	0
"ENSG00000233750"	16	21	36	28	15	21
"ENSG00000268903"	155	78	153	142	127	131
"ENSG00000269981"	53	38	47	62	41	40
"ENSG00000239906"	31	18	39	37	28	25
"ENSG00000241860"	206	147	203	235	186	221
"ENSG00000222623"	2	0	0	0	0	0
"ENSG00000241599"	0	1	0	0	0	2
"ENSG00000279928"	15	6	5	11	15	15
"ENSG00000279457"	1043	698	1120	909	886	950
"ENSG00000273874"	2	1	6	2	0	2
"ENSG00000275135"	0	2	0	0	0	0
"ENSG00000228463"	169	82	166	178	136	165
"ENSG00000241670"	0	0	0	0	0	0
"ENSG00000236679"	11	9	13	2	4	4
"ENSG00000236743"	2	2	1	4	0	2
"ENSG00000236601"	0	0	0	0	0	0
"ENSG00000237094"	469	336	487	475	431	417
"ENSG00000269732"	0	2	0	0	0	0
"ENSG00000278566"	2	0	0	0	0	0
"ENSG00000224813"	0	0	0	0	0	0
"ENSG00000233653"	17	11	23	15	18	20
"ENSG00000250575"	584	435	649	589	547	580
"ENSG00000278757"	0	0	0	0	0	0
"ENSG00000231709"	4	4	6	4	6	10
"ENSG00000235146"	0	0	2	0	0	0
"ENSG00000239664"	0	0	0	0	0	3
"ENSG00000230021"	8	11	20	10	5	6
"ENSG00000223659"	0	0	0	0	0	1
"ENSG00000225972"	1747	1088	2049	1197	1057	1245
"ENSG00000225630"	11657	7409	12648	9296	7811	8966
"ENSG00000276171"	1778	1050	1848	1501	1657	1350
"ENSG00000237973"	45785	28297	49496	38009	35314	36251
"ENSG00000278791"	0	0	0	0	0	0
"ENSG00000229344"	984	548	1072	725	660	758
"ENSG00000240409"	4	8	9	10	8	6
"ENSG00000248527"	4098	2626	4831	2999	2769	3025
"ENSG00000198744"	1620	963	1953	1296	1121	1267
