ensgene_id	NCEG2_1	NCEG2_2	NCEG2_3	DMSO_1	DMSO_2
"ENSG00000279928"	2	16	14	15	12
"ENSG00000228037"	10	20	8	18	23
"ENSG00000142611"	711	755	691	498	648
"ENSG00000284616"	0	0	0	0	0
"ENSG00000157911"	211	202	194	214	223
"ENSG00000269896"	89	99	134	103	116
"ENSG00000228463"	88	65	84	66	89
"ENSG00000260972"	0	0	0	0	10
"ENSG00000224340"	13	18	19	7	20
"ENSG00000226374"	0	0	0	4	0
"ENSG00000229280"	0	0	0	0	0
"ENSG00000142655"	319	235	243	240	409
"ENSG00000232596"	0	0	0	0	0
"ENSG00000235054"	0	0	0	0	0
"ENSG00000231510"	0	0	0	0	0
"ENSG00000149527"	27	27	39	54	52
"ENSG00000284739"	0	0	0	0	0
"ENSG00000171621"	161	123	181	117	140
"ENSG00000272235"	114	106	103	65	104
"ENSG00000284694"	0	0	0	0	0
"ENSG00000224387"	0	0	2	1	2
"ENSG00000142583"	6	3	0	0	0
"ENSG00000284674"	0	0	0	0	0
"ENSG00000224338"	0	0	0	0	0
"ENSG00000287727"	35	80	35	86	102
"ENSG00000286448"	1	0	5	0	1
"ENSG00000284703"	4	0	2	2	0
"ENSG00000226457"	102	102	97	91	117
"ENSG00000173614"	175	122	155	189	227
"ENSG00000215720"	36	55	46	32	78
"ENSG00000241326"	0	0	0	0	0
"ENSG00000233623"	6	12	34	21	15
"ENSG00000162592"	2	8	16	6	21
"ENSG00000204624"	20	37	35	26	37
"ENSG00000142606"	8	0	0	1	5
"ENSG00000225931"	0	0	0	0	0
"ENSG00000171729"	188	165	174	160	245
"ENSG00000279457"	414	420	411	332	534
"ENSG00000229393"	4	2	2	0	7
"ENSG00000037637"	1635	1383	1641	1374	1897
"ENSG00000287586"	0	0	0	0	0
"ENSG00000159423"	148	103	150	115	205
"ENSG00000227169"	0	0	0	0	0
"ENSG00000283356"	0	0	0	0	0
"ENSG00000157916"	637	510	559	603	814
"ENSG00000157881"	636	495	679	474	717
"ENSG00000238290"	2	1	0	0	0
"ENSG00000225387"	0	0	0	0	0
"ENSG00000048707"	3437	3284	3401	3421	4474
"ENSG00000225196"	0	0	0	0	0
"ENSG00000162444"	2	2	9	0	4
