"DMSO_1"	"DMSO_2"	"DMSO_3"	"NCEG2_1"	"NCEG2_2"	"NCEG2_3"
"ENSG00000223972"	10	11	8	6	3	5
"ENSG00000227232"	381	317	335	276	292	353
"ENSG00000278267"	28	36	37	17	26	37
"ENSG00000243485"	4	1	8	0	0	5
"ENSG00000274890"	0	0	0	0	0	0
"ENSG00000237613"	0	0	2	0	0	0
"ENSG00000268020"	0	0	0	0	0	2
"ENSG00000240361"	0	0	0	0	0	0
"ENSG00000186092"	0	0	0	0	0	0
"ENSG00000238009"	8	10	12	12	5	1
"ENSG00000239945"	0	0	0	0	0	0
"ENSG00000233750"	28	15	21	14	24	23
"ENSG00000268903"	142	127	131	80	124	109
"ENSG00000269981"	62	41	40	26	39	51
"ENSG00000239906"	37	28	25	23	17	25
"ENSG00000241860"	235	186	221	206	220	250
"ENSG00000222623"	0	0	0	0	0	0
"ENSG00000241599"	0	0	2	0	0	1
"ENSG00000279928"	11	15	15	13	18	11
"ENSG00000279457"	909	886	950	796	879	880
"ENSG00000273874"	2	0	2	2	7	0
"ENSG00000275135"	0	0	0	2	0	0
"ENSG00000228463"	178	136	165	156	223	205
"ENSG00000241670"	0	0	0	0	0	0
"ENSG00000236679"	2	4	4	10	6	9
"ENSG00000236743"	4	0	2	0	0	0
"ENSG00000236601"	0	0	0	0	0	0
"ENSG00000237094"	475	431	417	346	401	473
"ENSG00000269732"	0	0	0	0	0	0
"ENSG00000278566"	0	0	0	2	0	0
"ENSG00000224813"	0	0	0	0	0	0
"ENSG00000233653"	15	18	20	6	15	8
"ENSG00000250575"	589	547	580	432	541	566
"ENSG00000278757"	0	0	0	0	0	0
"ENSG00000231709"	4	6	10	2	6	0
"ENSG00000235146"	0	0	0	4	0	0
"ENSG00000239664"	0	0	3	0	0	0
"ENSG00000230021"	10	5	6	5	10	12
"ENSG00000223659"	0	0	1	0	0	0
"ENSG00000225972"	1197	1057	1245	1199	1438	1145
"ENSG00000225630"	9296	7811	8966	8086	10234	9458
"ENSG00000276171"	1501	1657	1350	1425	1698	1312
"ENSG00000237973"	38009	35314	36251	34038	42432	36417
"ENSG00000278791"	0	0	0	0	0	0
"ENSG00000229344"	725	660	758	789	870	696
"ENSG00000240409"	10	8	6	18	9	4
"ENSG00000248527"	2999	2769	3025	3095	3767	3356
"ENSG00000198744"	1296	1121	1267	1372	1580	1245
"ENSG00000268663"	0	2	2	0	2	0
"ENSG00000273547"	0	0	0	0	0	0
"ENSG00000229376"	51	18	15	13	14	14
"ENSG00000224956"	424	346	370	290	436	409
"ENSG00000235373"	330	242	299	219	291	314
"ENSG00000223181"	0	0	2	0	0	0
"ENSG00000240618"	4	17	11	4	9	6
"ENSG00000229905"	4	1	14	6	5	2
"ENSG00000228327"	144	134	148	118	146	146
"ENSG00000237491"	185	166	168	129	128	138
"ENSG00000230092"	18	12	20	7	8	11
"ENSG00000177757"	32	18	29	20	13	17
"ENSG00000228794"	630	490	589	421	572	490
"ENSG00000225880"	99	82	62	51	71	57
"ENSG00000230368"	5	9	0	1	2	4
"ENSG00000234711"	2	0	0	4	0	0
"ENSG00000272438"	6	0	4	1	0	2
"ENSG00000230699"	26	39	35	22	4	13
"ENSG00000241180"	0	0	0	0	0	0
"ENSG00000223764"	148	151	144	27	30	37
"ENSG00000187634"	98	117	110	35	62	48
"ENSG00000188976"	1697	1429	1597	1383	1716	1653
"ENSG00000187961"	1520	1436	1511	1274	1528	1496
"ENSG00000277294"	0	0	0	0	0	0
"ENSG00000187583"	199	179	159	121	139	139
"ENSG00000187642"	51	72	58	24	44	57
"ENSG00000272512"	0	2	2	4	8	2
"ENSG00000188290"	60	73	84	82	100	71
"ENSG00000187608"	523	457	471	415	475	531
"ENSG00000231702"	0	2	4	0	0	0
"ENSG00000224969"	2	3	7	4	3	4
"ENSG00000188157"	8687	8622	9104	6995	8435	8041
"ENSG00000242590"	0	0	0	0	0	0
"ENSG00000217801"	595	491	591	507	521	631
"ENSG00000273443"	51	76	57	49	67	47
"ENSG00000237330"	4	9	6	2	2	5
"ENSG00000131591"	1079	1084	1040	1115	1287	1192
"ENSG00000223823"	0	0	0	0	0	0
"ENSG00000207730"	0	0	0	0	0	0
"ENSG00000207607"	0	0	0	0	0	0
"ENSG00000198976"	0	0	0	0	0	0
"ENSG00000272141"	0	0	0	0	0	0
"ENSG00000205231"	0	0	0	0	0	0
"ENSG00000162571"	0	0	0	0	0	0
"ENSG00000186891"	1	2	0	0	0	0
"ENSG00000186827"	0	0	0	2	2	0
"ENSG00000078808"	5197	4874	5240	4320	5443	4803
"ENSG00000176022"	1550	1185	1398	1134	1361	1253
"ENSG00000184163"	38	45	62	32	51	45
"ENSG00000260179"	22	17	9	10	10	6
"ENSG00000160087"	1917	1758	1922	1677	2166	2072
"ENSG00000230415"	30	38	41	39	28	46
"ENSG00000162572"	289	277	320	206	221	200
"ENSG00000131584"	1280	1291	1378	1049	1144	1298
"ENSG00000278073"	0	0	0	0	0	0
"ENSG00000169972"	459	368	440	427	523	545
"ENSG00000127054"	3557	3091	3452	2690	3445	3265
"ENSG00000274153"	0	0	0	0	0	0
"ENSG00000240731"	247	215	220	154	219	198
"ENSG00000224051"	1352	1224	1272	1045	1190	1125
"ENSG00000169962"	26	32	35	24	22	18
"ENSG00000107404"	3866	3155	3769	3210	3957	3945
